,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Observations,5368,NA,Description,,,,,,,
,Variables: 9,Class,3089,,,,,,,,
,Title,Character,-,Name of the TV show,,,,,,,
,Year,Number,-,The year in which the tv show was produced,,,,,,,
,Age,Character,2127,Target age group,,,,,,,
,IMDb,Character,962,Rating/10 of Internet Movie Database: help fans explore the world of movies and shows and decide what to watch,,,,,,,
,,,,,,,,,,,
,Rotten Tomatoes,Character,-,The Tomatometer/10 score represents the percentage of professional critic reviews that are positive for a given film or television show.,,,,,,,
,Netflix,Factor,-,Streaming platform: Whether the tv show is found,,,,,,,
,Hulu,Factor,-,Streaming platform: Whether the tv show is found,,,,,,,
,Prime Video,Factor,-,Streaming platform: Whether the tv show is found,,,,,,,
,Disney+,Factor,-,Streaming platform: Whether the tv show is found,,,,,,,
